scheduled_departure_date_local,flight_number,scheduled_departure_station_code,scheduled_arrival_station_code,fleet_type,turnaround_buffer,load_factor,ssr_count,total_bags,transfer_bag_ratio,departure_hour,difficulty_score,daily_rank,difficulty_class
2025-08-01,1811,ORD,MSP,B737-800,-37,1.2108433734939759,37.0,175,0.6685714285714286,12,0.5887696332260332,1.0,Difficult
2025-08-01,1584,ORD,LAX,A321-2NX,-62,1.295,4.0,133,0.3082706766917293,10,0.5547844140959785,2.0,Difficult
2025-08-01,1502,ORD,RDU,B737-900,-56,1.0837988826815643,2.0,113,0.4336283185840708,14,0.5234415465483233,3.0,Difficult
2025-08-01,1363,ORD,LAX,A321-2NX,-50,1.205,16.0,128,0.21875,12,0.5152664831414371,4.0,Difficult
2025-08-01,972,ORD,BRU,B787-10,591,1.1226415094339623,22.0,461,0.5986984815618221,17,0.4984945769948464,5.0,Difficult
2025-08-01,1761,ORD,FAT,B737-700,-43,1.1428571428571428,3.0,99,0.5454545454545454,19,0.4955208796658349,6.0,Difficult
2025-08-01,2207,ORD,OMA,B737-MAX9,-41,1.1564245810055866,1.0,128,0.7421875,15,0.4916258268194181,7.0,Difficult
2025-08-01,2011,ORD,YVR,A320-200,-52,1.1333333333333333,3.0,146,0.2945205479452055,8,0.46655529510440136,8.0,Difficult
2025-08-01,881,ORD,HND,B787-10,1075,1.2389937106918238,16.0,368,0.7119565217391305,12,0.44874225847664256,9.0,Difficult
2025-08-01,907,ORD,FRA,B787-10,55,1.2547169811320755,18.0,325,0.6246153846153846,18,0.4407973701535794,10.0,Difficult
2025-08-01,5376,ORD,LEX,ERJ-175,-34,1.0571428571428572,10.0,72,0.8472222222222222,14,0.43215559523752434,11.0,Difficult
2025-08-01,4748,ORD,ATW,CRJ-550,-26,1.04,14.0,59,0.8305084745762712,20,0.424219857192442,12.0,Difficult
2025-08-01,845,ORD,GRU,B787-10,205,1.1540880503144655,8.0,437,0.459954233409611,21,0.4153040757110389,13.0,Difficult
2025-08-01,909,ORD,AMS,B787-8,3065,1.123456790123457,24.0,233,0.6566523605150214,18,0.39967212599537894,14.0,Difficult
2025-08-01,944,ORD,FRA,B787-10,95,1.2547169811320755,8.0,340,0.6029411764705882,15,0.39260896435647796,15.0,Difficult
2025-08-01,2488,ORD,LGA,B737-800,-34,1.2048192771084338,11.0,76,0.09210526315789473,12,0.39027708177316667,16.0,Difficult
2025-08-01,3536,ORD,YUL,ERJ-175,-42,1.0263157894736843,7.0,52,0.4230769230769231,7,0.38544035199351623,17.0,Difficult
2025-08-01,5790,ORD,CRW,CRJ-200,-29,1.08,3.0,46,0.5869565217391305,18,0.3787975306767834,18.0,Difficult
2025-08-01,416,ORD,MXP,B787-8,305,1.1728395061728396,15.0,193,0.6839378238341969,21,0.37676270272328694,19.0,Difficult
2025-08-01,4599,ORD,BHM,CRJ-550,-29,0.96,2.0,33,0.8181818181818182,19,0.36858835314101024,20.0,Difficult
2025-08-01,1361,ORD,STL,B737-800,18,1.0120481927710843,20.0,148,0.8243243243243243,21,0.3654628990495514,21.0,Difficult
2025-08-01,5358,ORD,CAK,CRJ-550,-29,1.04,5.0,43,0.813953488372093,14,0.3628491816431199,22.0,Difficult
2025-08-01,5135,ORD,MCW,CRJ-200,-29,1.16,0.0,34,0.5882352941176471,16,0.3594714026571538,23.0,Difficult
2025-08-01,2378,ORD,LAX,A321-2NX,15,1.205,13.0,164,0.676829268292683,21,0.355064578045598,24.0,Difficult
2025-08-01,2154,ORD,ROC,B737-900,19,1.1284916201117319,23.0,119,0.8739495798319328,18,0.3527225289987485,25.0,Difficult
2025-08-01,5314,ORD,LNK,CRJ-550,-29,0.7,10.0,28,0.32142857142857145,19,0.34839328732074837,26.0,Difficult
2025-08-01,769,ORD,BCN,B787-8,55,1.3662551440329218,13.0,183,0.4426229508196721,21,0.3458090376612167,27.0,Difficult
2025-08-01,5521,ORD,ATW,CRJ-200,-29,0.94,6.0,48,0.375,15,0.34571381630533793,28.0,Difficult
2025-08-01,2182,ORD,PHL,A320-200,-28,1.2533333333333334,3.0,95,0.24210526315789474,11,0.34503965964344707,29.0,Difficult
2025-08-01,609,ORD,PHX,B737-900,-22,1.0837988826815643,7.0,126,0.3888888888888889,13,0.3408810626773556,30.0,Difficult
2025-08-01,1156,ORD,MSY,B737-900,19,1.111731843575419,27.0,117,0.5897435897435898,19,0.3379073151497316,31.0,Difficult
2025-08-01,1710,ORD,SMF,B737-800,45,1.2710843373493976,8.0,134,0.835820895522388,19,0.33518854420163713,32.0,Difficult
2025-08-01,4425,ORD,GRR,CRJ-550,-29,0.94,4.0,32,0.59375,14,0.33411961340678725,33.0,Difficult
2025-08-01,2200,ORD,SEA,B737-MAX8,12,1.2891566265060241,17.0,102,0.6176470588235294,21,0.3334376454980583,34.0,Difficult
2025-08-01,118,ORD,EDI,B757-200,15,1.1590909090909092,25.0,175,0.38857142857142857,18,0.3297639696108811,35.0,Difficult
2025-08-01,5603,ORD,FNT,CRJ-200,57,1.3,23.0,60,0.65,20,0.3254034106237371,36.0,Difficult
2025-08-01,1842,ORD,SAN,A321-2NX,23,1.265,8.0,131,0.7251908396946565,20,0.32536391319029606,37.0,Difficult
2025-08-01,1144,ORD,ONT,B737-800,24,1.072289156626506,24.0,127,0.5511811023622047,19,0.32505531399897486,38.0,Difficult
2025-08-01,1335,ORD,BUF,B737-900,32,1.335195530726257,9.0,109,0.8807339449541285,18,0.3246947075327597,39.0,Difficult
2025-08-01,695,ORD,SJU,B737-MAX9,37,1.3072625698324023,21.0,111,0.5225225225225225,18,0.32467055884720003,40.0,Difficult
2025-08-01,1146,ORD,MBJ,B737-800,-24,1.1927710843373494,6.0,137,0.31386861313868614,8,0.32447039167715763,41.0,Difficult
2025-08-01,1178,ORD,ORF,B737-900,1,1.2905027932960893,9.0,152,0.6644736842105263,18,0.32425751891122656,42.0,Difficult
2025-08-01,1531,ORD,DSM,A319-100,21,1.1666666666666667,14.0,87,0.9655172413793104,20,0.3232235273714289,43.0,Difficult
2025-08-01,1872,ORD,MSP,A320-200,11,1.1733333333333333,21.0,136,0.7352941176470589,14,0.3228320686354936,44.0,Difficult
2025-08-01,1612,ORD,MEM,A319-100,61,1.2063492063492063,17.0,93,0.7204301075268817,20,0.3216094268901024,45.0,Difficult
2025-08-01,1564,ORD,MSP,B737-800,50,1.0783132530120483,14.0,106,0.8679245283018868,20,0.3206522366533374,46.0,Difficult
2025-08-01,953,ORD,MUC,B787-8,1530,1.1893004115226338,14.0,249,0.36947791164658633,18,0.32048492395143025,47.0,Difficult
2025-08-01,1923,ORD,CID,A320-200,64,1.1466666666666667,5.0,124,0.9193548387096774,20,0.3200500774922783,48.0,Difficult
2025-08-01,288,ORD,SNN,B757-200,137,1.2840909090909092,13.0,189,0.43915343915343913,18,0.3197406943990505,49.0,Difficult
2025-08-01,1495,ORD,TVC,B737-800,12,1.3072289156626506,11.0,99,0.6666666666666666,21,0.31941319606984186,50.0,Difficult
2025-08-01,1124,ORD,IAH,B737-900,1241,1.2067039106145252,11.0,198,0.5656565656565656,16,0.31865971053570696,51.0,Difficult
2025-08-01,2635,ORD,CLT,B737-700,-23,1.1746031746031746,2.0,82,0.2073170731707317,14,0.318255721300409,52.0,Difficult
2025-08-01,1324,ORD,SFO,A321-2NX,22,1.175,16.0,166,0.463855421686747,19,0.3178089322123793,53.0,Difficult
2025-08-01,980,ORD,DUB,B787-8,305,1.0905349794238683,17.0,222,0.34234234234234234,20,0.3168925386115562,54.0,Difficult
2025-08-01,2652,ORD,RSW,B737-800,12,1.3072289156626506,17.0,113,0.5575221238938053,18,0.316695804765494,55.0,Difficult
2025-08-01,1905,ORD,PIT,A320-200,14,1.2466666666666666,13.0,112,0.75,18,0.31648797906194426,56.0,Difficult
2025-08-01,970,ORD,FCO,B787-10,5,1.2641509433962264,12.0,242,0.4380165289256198,15,0.3164833357104661,57.0,Difficult
2025-08-01,380,ORD,JAX,A320-200,-23,1.0066666666666666,7.0,84,0.44047619047619047,11,0.3145858698997015,58.0,Difficult
2025-08-01,2133,ORD,EWR,B757-200,-12,1.1306818181818181,16.0,149,0.2080536912751678,15,0.31395964682603106,59.0,Difficult
2025-08-01,3716,ORD,CMH,ERJ-175,-7,1.144736842105263,15.0,61,0.6885245901639344,18,0.31288437669256647,60.0,Difficult
2025-08-01,912,ORD,KEF,B757-200,75,1.1761363636363635,6.0,149,0.6174496644295302,21,0.31277215935472236,61.0,Difficult
2025-08-01,374,ORD,MSP,A319-100,33,1.0396825396825398,20.0,111,0.7567567567567568,16,0.302863286592833,62.0,Difficult
2025-08-01,219,ORD,HNL,B787-10,10,1.349056603773585,13.0,329,0.3586626139817629,9,0.3024124605050554,63.0,Difficult
2025-08-01,2665,ORD,IAH,B737-MAX9,16,1.2067039106145252,1.0,142,0.6619718309859155,21,0.30235536270962,64.0,Difficult
2025-08-01,2658,ORD,SMF,A320-200,58,1.1866666666666668,18.0,114,0.631578947368421,16,0.30207632507666643,65.0,Difficult
2025-08-01,2172,ORD,FAI,B737-MAX8,26,0.927710843373494,8.0,151,0.9139072847682119,16,0.3018342427580399,66.0,Difficult
2025-08-01,767,ORD,DEN,A321-2NX,10,1.145,3.0,126,0.746031746031746,21,0.3017489385530737,67.0,Difficult
2025-08-01,1899,ORD,YYC,A319-100,18,1.4126984126984128,12.0,89,0.4044943820224719,20,0.3008338580103932,68.0,Difficult
2025-08-01,4463,ORD,ABE,CRJ-550,-19,1.04,0.0,20,0.8,18,0.2985624238123578,69.0,Difficult
2025-08-01,1044,ORD,LAX,B757-300,128,1.3461538461538463,20.0,213,0.4131455399061033,9,0.2967909984162028,70.0,Difficult
2025-08-01,1660,ORD,SFO,B757-300,39,1.2820512820512822,12.0,166,0.4457831325301205,16,0.29573688091056416,71.0,Difficult
2025-08-01,2106,ORD,SFO,A321-2NX,13,1.11,5.0,134,0.6268656716417911,21,0.2950518324239805,72.0,Difficult
2025-08-01,1215,ORD,ANC,B737-MAX8,30,1.1506024096385543,14.0,171,0.7543859649122807,9,0.2934493664767035,73.0,Difficult
2025-08-01,1801,ORD,DEN,B757-300,22,1.1581196581196582,7.0,212,0.4811320754716981,16,0.2917031474528027,74.0,Difficult
2025-08-01,2278,ORD,SEA,A321-2NX,18,1.315,12.0,149,0.436241610738255,16,0.2912459074533899,75.0,Difficult
2025-08-01,1485,ORD,SEA,B737-900,18,1.1731843575418994,22.0,149,0.4563758389261745,13,0.29070500747535416,76.0,Difficult
2025-08-01,987,ORD,CDG,B787-10,100,1.3647798742138364,13.0,273,0.14652014652014653,18,0.2897574272544559,77.0,Difficult
2025-08-01,5810,ORD,PIA,CRJ-200,76,1.52,4.0,57,0.6666666666666666,20,0.2895686056712052,78.0,Difficult
2025-08-01,1182,ORD,SJC,A319-100,41,1.1111111111111112,12.0,106,0.6320754716981132,19,0.28915174630615553,79.0,Difficult
2025-08-01,5272,ORD,MSN,CRJ-550,-29,0.88,0.0,41,0.43902439024390244,10,0.2890467275374514,80.0,Difficult
2025-08-01,1398,ORD,ATL,B737-800,19,1.1506024096385543,12.0,110,0.6181818181818182,18,0.28819574328829767,81.0,Difficult
2025-08-01,2040,ORD,DEN,B737-900,21,1.0279329608938548,10.0,103,0.7378640776699029,20,0.28806131836841486,82.0,Difficult
2025-08-01,468,ORD,IAH,B737-900,331,1.223463687150838,48.0,160,0.10625,6,0.28759630119631807,83.0,Difficult
2025-08-01,2424,ORD,RDU,B737-MAX9,24,1.0279329608938548,12.0,106,0.7452830188679245,18,0.28452870967276267,84.0,Difficult
2025-08-01,2243,ORD,RIC,A320-200,593,1.1466666666666667,8.0,99,0.7777777777777778,18,0.28341058473865516,85.0,Difficult
2025-08-01,2481,ORD,SYR,A320-200,29,1.2466666666666666,6.0,90,0.7888888888888889,18,0.28283761674310365,86.0,Difficult
2025-08-01,2494,ORD,MCI,B737-900,29,0.9832402234636871,13.0,97,0.7422680412371134,19,0.2825969558338382,87.0,Difficult
2025-08-01,1779,ORD,BOS,B737-900,-7,1.1173184357541899,4.0,60,0.48333333333333334,21,0.2824373318901161,88.0,Difficult
2025-08-01,602,ORD,PHX,B737-MAX9,14,1.1284916201117319,4.0,133,0.5864661654135338,20,0.2822968043610674,89.0,Difficult
2025-08-01,1269,ORD,CLE,B737-700,31,1.253968253968254,11.0,105,0.49523809523809526,18,0.2820638106603367,90.0,Difficult
2025-08-01,2211,ORD,SEA,B737-MAX8,13,1.1987951807228916,3.0,118,0.6694915254237288,19,0.2816396027840682,91.0,Difficult
2025-08-01,1492,ORD,CMH,B737-800,12,0.927710843373494,17.0,63,0.7777777777777778,21,0.2805933007290544,92.0,Difficult
2025-08-01,422,ORD,ATH,B787-10,30,1.1666666666666667,4.0,250,0.396,16,0.280560483893168,93.0,Difficult
2025-08-01,445,ORD,ANC,B737-MAX9,12,1.223463687150838,8.0,140,0.6071428571428571,15,0.28044050409486887,94.0,Difficult
2025-08-01,4611,ORD,MDT,CRJ-550,-29,1.02,0.0,25,0.48,7,0.2804184853871577,95.0,Difficult
2025-08-01,4778,ORD,FAR,CRJ-200,-29,1.0,0.0,39,0.1794871794871795,8,0.27991713695728243,96.0,Difficult
2025-08-01,576,ORD,LAX,A321-2NX,10,1.16,19.0,153,0.33986928104575165,15,0.2778722324841758,97.0,Difficult
2025-08-01,5833,ORD,DTW,ERJ-175,47,1.2105263157894737,7.0,75,0.8666666666666667,18,0.27651198534439453,98.0,Difficult
2025-08-01,2008,ORD,MCO,B757-300,15,1.5299145299145298,16.0,152,0.27631578947368424,11,0.27554347826086956,99.0,Difficult
2025-08-01,1301,ORD,ICT,B737-700,22,1.1825396825396826,2.0,76,0.9078947368421053,20,0.27390035094701426,100.0,Difficult
